DetectionResult: [xmin, ymin, xmax, ymax, score, label_id]
415.047333,89.311508, 506.009644, 283.863098, 0.950423, 0
163.665710,81.914894, 198.585342, 166.760880, 0.896433, 0
581.788635,113.027596, 612.623535, 198.521683, 0.842596, 0
267.217224,89.777328, 298.796051, 169.361481, 0.837951, 0
104.465599,45.482422, 127.688843, 93.533875, 0.773348, 0
348.902161,44.059326, 367.541656, 98.403526, 0.767127, 0
363.889740,58.385529, 381.397491, 114.652359, 0.756467, 0
504.843811,114.531601, 612.280945, 271.292603, 0.714128, 0
328.225861,38.965313, 347.210846, 80.570648, 0.681382, 0
379.175446,40.791225, 394.879089, 83.980385, 0.657216, 0
25.863768,117.865379, 61.259453, 153.156891, 0.574506, 0
279.377563,80.798035, 296.598083, 109.842545, 0.458689, 0
464.143127,15.278189, 472.054291, 33.781960, 0.431604, 0
169.602783,47.345268, 178.553772, 61.111172, 0.391443, 0
504.604187,113.749252, 571.945129, 273.138214, 0.382771, 0
186.653458,44.978329, 200.053909, 61.187344, 0.358061, 0
278.923309,80.309868, 297.703430, 166.297546, 0.284450, 0
239.764099,96.788078, 253.038116, 118.557297, 0.269868, 0
154.452682,122.374619, 174.471161, 163.788300, 0.246119, 0
479.463623,22.919109, 485.545746, 33.307514, 0.215092, 0
410.347382,22.929636, 418.011322, 33.906456, 0.204181, 0
398.676208,24.442698, 405.742157, 33.880051, 0.194844, 0
279.563080,80.634567, 298.115814, 140.308670, 0.193347, 0
64.930603,135.478027, 85.653709, 154.052979, 0.180158, 0
0.786353,126.585411, 40.163944, 155.860596, 0.167435, 0
504.535736,158.929153, 619.289246, 271.034760, 0.158980, 0
353.527435,44.340958, 365.782410, 93.138367, 0.155545, 0
238.582977,90.624611, 276.262268, 165.945007, 0.149247, 0
0.740141,122.252251, 51.193897, 154.638611, 0.145974, 0
416.422241,190.348999, 481.703217, 284.459839, 0.145309, 0
525.208862,19.898369, 534.686035, 33.504726, 0.143212, 0
504.771545,113.666458, 555.013916, 177.921753, 0.143028, 0
0.159411,126.797852, 37.958214, 170.154465, 0.141089, 0
153.822968,123.721657, 183.459534, 164.643723, 0.138851, 0
0.239608,126.761139, 8.498707, 171.019409, 0.136922, 0
239.028427,95.516747, 258.771423, 128.205109, 0.131457, 0
536.052307,22.960217, 544.882996, 33.861820, 0.130118, 0
195.542526,124.280418, 212.774948, 155.084442, 0.129332, 0
239.322891,94.553703, 264.385437, 153.713943, 0.125627, 0
57.425285,152.530899, 104.536102, 173.466812, 0.122746, 0
0.516191,36.445324, 5.782715, 43.749813, 0.121878, 0
363.781738,58.276817, 377.484833, 90.181961, 0.119654, 0
217.505814,83.515083, 252.958038, 118.431808, 0.113481, 0
279.433197,80.424271, 302.535004, 151.671524, 0.112471, 0
584.488281,26.752489, 597.404114, 33.815472, 0.109092, 0
